Target user OID-7: reputation-5868, upvote-26, downvote-9.
CHAWE-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
CHAWE-- user OID-30: reputation-22647, upvote-104, downvote-9.
CHAWE-- user OID-73: reputation-2895, upvote-482, downvote-38.
CHAWE-- user OID-11367: reputation-16479, upvote-385, downvote-6.
CHAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
HAWE-- user OID-41328: reputation-32749, upvote-754, downvote-80.
HAWE-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
HAWE-- user OID-5026: reputation-8522, upvote-311, downvote-58.
HAWE-- user OID-41556: reputation-10200, upvote-949, downvote-43.
HAWE-- user OID-16683: reputation-58809, upvote-614, downvote-110.
hin2vec-- user OID-7786: reputation-872, upvote-21, downvote-0.
hin2vec-- user OID-84: reputation-10454, upvote-7, downvote-0.
hin2vec-- user OID-12: reputation-2184, upvote-6, downvote-0.
hin2vec-- user OID-108: reputation-99, upvote-6, downvote-2.
hin2vec-- user OID-139: reputation-2652, upvote-28, downvote-1.
node2bits-- user OID-5026: reputation-8522, upvote-311, downvote-58.
node2bits-- user OID-418: reputation-42272, upvote-218, downvote-34.
node2bits-- user OID-30: reputation-22647, upvote-104, downvote-9.
node2bits-- user OID-275: reputation-40329, upvote-213, downvote-2.
node2bits-- user OID-194: reputation-7141, upvote-223, downvote-19.
deepWalk-- user OID-296: reputation-325, upvote-1, downvote-0.
deepWalk-- user OID-23728: reputation-429, upvote-0, downvote-0.
deepWalk-- user OID-53: reputation-1637, upvote-4, downvote-0.
deepWalk-- user OID-4148: reputation-637, upvote-4, downvote-0.
deepWalk-- user OID-70651: reputation-705, upvote-1, downvote-0.
struc2vec-- user OID-24052: reputation-3250, upvote-11, downvote-0.
struc2vec-- user OID-30: reputation-22647, upvote-104, downvote-9.
struc2vec-- user OID-41556: reputation-10200, upvote-949, downvote-43.
struc2vec-- user OID-402: reputation-6263, upvote-338, downvote-9.
struc2vec-- user OID-5026: reputation-8522, upvote-311, downvote-58.

Target user OID-10: reputation-533, upvote-18, downvote-0.
CHAWE-- user OID-5456: reputation-4900, upvote-63, downvote-2.
CHAWE-- user OID-12: reputation-2184, upvote-6, downvote-0.
CHAWE-- user OID-17368: reputation-19163, upvote-561, downvote-27.
CHAWE-- user OID-29775: reputation-2202, upvote-23, downvote-1.
CHAWE-- user OID-41890: reputation-4846, upvote-9, downvote-7.
HAWE-- user OID-9961: reputation-4202, upvote-297, downvote-297.
HAWE-- user OID-69977: reputation-2454, upvote-116, downvote-11.
HAWE-- user OID-68027: reputation-8548, upvote-9, downvote-0.
HAWE-- user OID-12: reputation-2184, upvote-6, downvote-0.
HAWE-- user OID-29775: reputation-2202, upvote-23, downvote-1.
hin2vec-- user OID-121: reputation-1693, upvote-5, downvote-0.
hin2vec-- user OID-120: reputation-101, upvote-5, downvote-0.
hin2vec-- user OID-12: reputation-2184, upvote-6, downvote-0.
hin2vec-- user OID-1160: reputation-3671, upvote-4, downvote-0.
hin2vec-- user OID-2095: reputation-859, upvote-12, downvote-0.
node2bits-- user OID-69977: reputation-2454, upvote-116, downvote-11.
node2bits-- user OID-1573: reputation-6370, upvote-12, downvote-0.
node2bits-- user OID-113: reputation-101, upvote-3, downvote-1.
node2bits-- user OID-4231: reputation-79505, upvote-132, downvote-2.
node2bits-- user OID-5531: reputation-3576, upvote-10, downvote-10.
deepWalk-- user OID-28944: reputation-187, upvote-0, downvote-0.
deepWalk-- user OID-148: reputation-1563, upvote-4, downvote-0.
deepWalk-- user OID-462: reputation-306, upvote-2, downvote-0.
deepWalk-- user OID-94: reputation-189, upvote-2, downvote-0.
deepWalk-- user OID-3879: reputation-908, upvote-2, downvote-0.
struc2vec-- user OID-12: reputation-2184, upvote-6, downvote-0.
struc2vec-- user OID-17368: reputation-19163, upvote-561, downvote-27.
struc2vec-- user OID-5531: reputation-3576, upvote-10, downvote-10.
struc2vec-- user OID-9961: reputation-4202, upvote-297, downvote-297.
struc2vec-- user OID-9757: reputation-4456, upvote-133, downvote-2.

Target user OID-30: reputation-22647, upvote-104, downvote-9.
CHAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
CHAWE-- user OID-7: reputation-5868, upvote-26, downvote-9.
CHAWE-- user OID-22: reputation-14408, upvote-248, downvote-8.
CHAWE-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
CHAWE-- user OID-10185: reputation-14374, upvote-154, downvote-11.
HAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
HAWE-- user OID-69830: reputation-16674, upvote-216, downvote-14.
HAWE-- user OID-5026: reputation-8522, upvote-311, downvote-58.
HAWE-- user OID-14: reputation-4509, upvote-172, downvote-13.
HAWE-- user OID-418: reputation-42272, upvote-218, downvote-34.
hin2vec-- user OID-120: reputation-101, upvote-5, downvote-0.
hin2vec-- user OID-39: reputation-5484, upvote-4, downvote-0.
hin2vec-- user OID-172: reputation-101, upvote-2, downvote-0.
hin2vec-- user OID-2095: reputation-859, upvote-12, downvote-0.
hin2vec-- user OID-4586: reputation-101, upvote-0, downvote-0.
node2bits-- user OID-418: reputation-42272, upvote-218, downvote-34.
node2bits-- user OID-402: reputation-6263, upvote-338, downvote-9.
node2bits-- user OID-23561: reputation-11596, upvote-1594, downvote-123.
node2bits-- user OID-194: reputation-7141, upvote-223, downvote-19.
node2bits-- user OID-7: reputation-5868, upvote-26, downvote-9.
deepWalk-- user OID-74516: reputation-63, upvote-1, downvote-0.
deepWalk-- user OID-124: reputation-1425, upvote-3, downvote-0.
deepWalk-- user OID-90138: reputation-101, upvote-0, downvote-0.
deepWalk-- user OID-11287: reputation-464, upvote-0, downvote-0.
deepWalk-- user OID-9364: reputation-227, upvote-2, downvote-0.
struc2vec-- user OID-41556: reputation-10200, upvote-949, downvote-43.
struc2vec-- user OID-24052: reputation-3250, upvote-11, downvote-0.
struc2vec-- user OID-7: reputation-5868, upvote-26, downvote-9.
struc2vec-- user OID-69830: reputation-16674, upvote-216, downvote-14.
struc2vec-- user OID-402: reputation-6263, upvote-338, downvote-9.

Target user OID-22: reputation-14408, upvote-248, downvote-8.
CHAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
CHAWE-- user OID-16683: reputation-58809, upvote-614, downvote-110.
CHAWE-- user OID-41328: reputation-32749, upvote-754, downvote-80.
CHAWE-- user OID-30: reputation-22647, upvote-104, downvote-9.
CHAWE-- user OID-418: reputation-42272, upvote-218, downvote-34.
HAWE-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
HAWE-- user OID-4945: reputation-40596, upvote-1346, downvote-158.
HAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
HAWE-- user OID-41328: reputation-32749, upvote-754, downvote-80.
